hospital_name,name,rating,review
Siloam Hospitals Semarang,valbecktomchris,1.0,"(Translated by Google) It's true that I was cheated by this hospital.. I chose an internal medicine doctor, in his profile photo the person looks young and convincing, but when he came and saw him in person... Eh, it turns out that the doctor is too old, his voice and hands are shaking.. Communication is also not connected... Please Siloam Hospital, the doctor's profile photo must be displayed up to date, not 30 years ago, so as not to mislead patients who want to choose their doctor. After all, if you are old, it can be dangerous for the patient. What is the pain, but what is being examined, so the difference can be malpractice. Luckily I'm not a surgeon, you can imagine holding a knife to dissect a patient with shaking hands like that. The patient must be stressed and afraid. (Original) Benar benar KETIPU saya sama rumah sakit ini.. Saya pilih dokter internal penyakit dalam, di foto profilnya orangnya terlihat masih muda dan meyakinkan, tapi pas datang dan ketemu langsung... Eh ternyata dokternya sudah terlalu uzur, suara dan tangannya pun gemetaran... Komunikasi juga udah gak nyambung... Tolong ya siloam hospital, foto profil dokternya harus ditampilkan yang terbaru, jangan foto 30 tahun yang lalu, sehingga jangan sampai menyesatkan pasien yang ingin memilih milih dokternya. Lagian kalo udah ketuaan, bisa membahayakan pasien. Sakitnya apa, tapi yang diperiksa apa, jadi beda bisa malpraktik. Untung bukan dokter bedah, bisa dibayangkan kalo pegang pisau membedah pasien dengan tangan gemeteran seperti itu. Pasien pasti jadi stress dan ketakutan."
Siloam Hospitals Semarang,Hanny N,5.0,"(Translated by Google) So far, I am very satisfied to check here, the hospital is disciplined in implementing health protocols, the lift is also touchless, before entering the hospital there is a temperature measurement which is also touchless. The clerk is very helpful and friendly. I came to check at 19.30, thank God, I was served well even though the doctor's practice hours were tight. Registration of new patients is fast, the nurses are also very good, the pediatrician is very informative and communicative. For a relatively very affordable cost with maximum service. Check w / pediatrician 150k and administration only 25k. The reception area and examining room are clean and comfortable. Recommend for those who want to check at this hospital. (Original) So far sangat puas periksa disini, RS disiplin menerapkan protokol kesehatan, lift juga sudah touchless, sebelum masuk RS ada pengukuran suhu yg juga touchless. Petugas sangat helpful dan ramah. Sy datang periksa jam 19.30 alhamdulillah tetap dilayani dg baik walaupun jam praktek dokternya sudah mepet. Pendaftaran pasien baru prosesnya cepat, suster juga sangat baik, dokter spesialis anak yang sangat informatif dan komunikatif. Untuk biaya relatif sangat terjangkau dengan pelayanan yg maksimal. Periksa dg dokter spesialis anak 150k dan administrasi hanya 25k. Ruangan tunggu dan ruang periksa bersih dan nyaman. Recommend untuk yg mau periksa di RS ini."
Siloam Hospitals Semarang,ayu yudakusuma,1.0,"(Translated by Google) An ENT doctor whose name is Retxx is very expensive, just to clean my ears, it costs 480 thousand. It seems that when you pay at the cashier, the doctor can change the charge rate at will, aka shoot the patient at will. DANGER this is a hospital... (Original) Dokter THT yg namanya Retxx tarifnya mahal sekali, cuma bersihin kuping saya, kena 480ribu. Sepertinya pas bayar di kasir, dokter bisa seenaknya ubah charge tarif seenak jidat dia, alias nembak pasien sesukanya. BAHAYA ini rumah sakit..."
Siloam Hospitals Semarang,Mushiyung Ipputa,5.0,"(Translated by Google) Last July 29th, come here for PCR for 275k. Because Siloam includes hospitals that work together with the Korean embassy, ​​what do you want to do with having to go all the way from pkl to smg just for pcr huhu. The receptionist is very friendly, isn't he... how handsome is he? The officer who took the sample was also friendly.. the results didn't come out until 24 hours.. only the maximum sample collection was at 10 am later that night can be taken ️ (Original) 29 juli lalu kesini untuk PCR harga 275k. Karena siloam ini trmasuk rs yang bkerjasama dg kdutaan korea ya mau gmna lgi harus jauh² dari pkl ke smg cuma untuk pcr huhu. Resepsionisnya ramah bgt ya ... mana gnteng pulak wkwk Petugas yg ambil smpel juga ramah.. hasil kluar gk smpai 24jam.. cuma maksimal pngmbilan sampel jam 10 pgi ntar mlmnya bisa diambil 🌸☺️"
Siloam Hospitals Semarang,imel syahfitri,5.0,"(Translated by Google) The services from the emergency room, specialist doctors, on duty doctors and nurses who serve our children are really ""satisfying"" Friendly, fast response The cleanliness of the room in the room is also ok Good luck to Siloam Hospital (Original) Pelayanan dari mulai igd, dokter spesialis, dokter jaga dan suater yg melayani anak kami bener"" memuaskan Ramah, respon cepat Keberaihan ruangan di kamar juga ok Sukses trus untuk siloam hospital 👌👌"
Siloam Hospitals Semarang,Niken Gunawan,5.0,"(Translated by Google) Went to Siloam because there was a doctor Danang, an ophthalmologist 👍 I am picky in determining which doctor I trust, so I will definitely track the history first. One of the reasons is because Dr Danang also practices at KMN Semarang. So I decided to consul with him. And it turned out to be exactly as expected, from what he said he made a calm suggestion, how to check & explain it was very patient, detailed and willing to listen to patient complaints. It doesn't feel like being pressed for time, but it looks like he really serves patients with all his heart. Stay healthy doctor Danang🙏🏻 Hopefully Rs Siloam will have more and more specialist doctors! (Original) Pergi ke Siloam karena ada dokter Danang spesialis mata👍 Saya termasuk pilih2 dalam menentukan siapa dokter yg saya beri kepercayaan, jd sebelumnya pasti saya tracking dulu riwayatnya. Salah satu alasanya karena dr danang jg praktek di KMN Semarang. Jd sya memutuskan utk konsul dg beliau. Dan ternyata betul sesuai harapan, dari tuturnya sudah buat sugesti tenang, cara periksa & menjelaskannya sangat sabar, detail dan mau mendengarkan keluhan2 pasien. Tidak serasa seperti diburu2 waktu, tapi kelihatan beliau betul2 melayani pasien dg sepenuh hati. Sehat2 terus dokter danang🙏🏻 Semoga Rs Siloam semakin lebih banyak punya dokter2 spesialis yg terbaik!"
Siloam Hospitals Semarang,Tika Destyana,5.0,"(Translated by Google) Starting from the good security guard, grgr I said ""My bag, sir, when it rains"" then the security guard wants to take a plastic bag to cover my bag. Ampooonnn it's really great, friendly, a little jayuz wkwkwk. The nurse is also friendly but ethical and patient and communicative It's so cool ❤️ (Original) Mulai dr satpamnya yg buaekkk, grgr ak blg “eman2 tas saya pak kl kena hujan” trs bapak satpam mau ngambilin kresekkk buat nutupin tasku. Ampooonnn buaek sekali, ramah, sedikit jayuz wkwkwk. Perawatnya jg santuy tp ttp beretika dan sabar jg komunikatif Keren deh sdm2 nya❤️"
Siloam Hospitals Semarang,jazakillah khairan,1.0,"(Translated by Google) The female ENT doctor in this hospital is the fee 500 thousand? How come it's so expensive... just like a doctor in Jakarta?? Is this the doctor shooting the price? So scary, don't want to come to a hospital where the doctor shoots the price they want... You know if it's that expensive, it's better to go to the Hermina Penandaran Hospital all... More transparent the doctor's fees... How come the hospital shoots the price arbitrarily huh... (Original) Dokter THT perempuan di rumah sakit ini memang bayaran tarifnya 500ribu? Kok sangat mahal...udah kayak dokter di jakarta aja?? Apa ini dokternya nembak harga ya?? Jadi serem, ogah datang ke rumah sakit yg dokternya nembak harga seenaknya... Tau kalo semahal itu mending ke RS Hermina Penandaran sekalian... Lebih transparan tarif dokternya... Rumah sakit kok nembak harga seenaknya ya..."
Siloam Hospitals Semarang,nadia nailaufar,3.0,"(Translated by Google) racist security guard, We look like lowly employees, don't we, sir? Very fierce, ask also santuy, My father is POLICE sir, jasmine pin is not a star, If it wasn't for my friend, I would sue you at that time. My friend is calm, angry, you mean! The 1000 return antigen test is not reversed, It's not a matter of 1000 HIS, it's a matter of respecting it, being polite, and being responsible, It's the turn of the Chinese face customers to come, you're polite! (Original) Satpammya rasis, Kita kelihatan kaya pegawai rendahan ya pak? Galak amat, nanya juga santuy, Bapak saya POLISI pak, pin melati bukan bintang, Kalo bukan karena temen saya, anda saya perkarakan wkt itu, Temen saya orangnya kalem, di marah marahi, maksudmu! Tes antigen kembalian 1000 ngga dibalikin, Bukan masalah 1000 NYA, masalah menghargainya, sopan, dan tanggung jawab, Giliran pelanggan muka cina dateng, sopan kau!"
Siloam Hospitals Semarang,Devi Oktavia,5.0,"(Translated by Google) The dentist is ok, the treatment for cavities is comfortable, it doesn't hurt. (Original) Dokter gigi nya ok, perawatan gigi berlubang nyaman, tidak sakit."
Siloam Hospitals Semarang,fathan hermawan,5.0,"(Translated by Google) The nurses and doctors are friendly, the inpatient room is clean (Original) Perawat san dokternya ramah2,ruang rawat inap bersih"
Siloam Hospitals Semarang,Tjia Tata,2.0,"(Translated by Google) Disappointed with the service. I came for the antigen test at 10, the test was at 3 pm. The results are emailed 30 minutes after the test. But until the evening I did not receive the results. I've called and wa but no response. (Original) Kecewa sih pelayanannya. Saya datang test antigen jam 10, test nya jam 3 sore. Hasilnya diemail 30 menit setelah test. Tapi sampai malam saya tidak terima hasilnya. Saya sudah tlp dan wa tapi tidak ditanggapi."
Siloam Hospitals Semarang,Anjar Priyatmojo,5.0,"(Translated by Google) The hospital is clean, comfortable, applies strict protocols, friendly staff, even doctors, amazing experience, just no parking (Original) Rumah sakit bersih, nyaman, menerapkan protokol dengan ketat, ramah pegawainya, dokterny pun juga, pengalaman yang luar biasa, cuma parkirannya gaada"
Siloam Hospitals Semarang,Deni Febrianto,2.0,"(Translated by Google) The lack of transparency regarding the price, details of drugs, etc.. Really good service, friendly doctors etc., because I went to the emergency room, I went to this hospital because it was urgent, I had to think about the position of people who can't redeem drugs? Without being explained at the beginning .. It must be fatal right . (Original) Kurang nya keterbukaan masalah price rincian obat dll .. Memang pelayanan bagus dokter dll ramah ya karna sya masuk igd , sya mengarah ke rs ini ya mmg krna urgent, saya smpai berfikir bgaimana posisi org yg tdk bisa mnebus obat ? Tnpa dijelaskan di awal .. Pasti fatal kan ... Semoga kejadian sperti itu ckup berhenti di saya ."
Siloam Hospitals Semarang,iin safila,4.0,"(Translated by Google) The overall service was good, from the front they were greeted with a queue for scanning barcodes to protect them, recording body temperature, antigens, arriving at the poly queue, weight and height were weighed, tension was measured. The SOPs and processes are quite good. The lack is that the place is not spacious, especially the parking (Original) Pelayanan overall baik, dari depan disambut dengan antrian scan barcode peduli lindungi, mencatat suhu badan, antigen, sampe di antrian poli ditimbang berat dan tinggi badan, diukur tensi. SOP dan prokes nya cukup baik. Kurangnya ya tempatnya kurang luas apalagi parkirnya"
Siloam Hospitals Semarang,Fevi Renaningsih,1.0,"(Translated by Google) The place is cramped, but the service is not fast so there is a congestion of patients. I want the anti-gene test from 7 to 9 am not yet served. Suggestion if the patient is in a hurry or if the work permit is mending the test elsewhere (Original) Tempat sempit, tapi pelayanan tidak cepat sehingga terjadi penumpukan pasien. Saya ingin tes anti gen dari jam 7 sampai jm 9 belum terlayani. Saran jika pasien terburu atau ijin kerja mending test di tempat lain"
Siloam Hospitals Semarang,Rini Purnomo,5.0,"(Translated by Google) Clean new hospital, good medicine and smart doctor (Original) Rumah sakit baru yang bersih, obatnya juga bagus dan dokter yang pinter"
Siloam Hospitals Semarang,Rinno Wardana,1.0,"(Translated by Google) The service is not friendly, especially the security on guard tonight 👎🏽 (Original) Pelayanannya tidak ramah, terutama security yang jaga malam ini 👎🏽"
Siloam Hospitals Semarang,William Ardhana,5.0,(Translated by Google) MCU service is ok. Easy to access results from my siloam apps (Original) Pelayanan MCU ok. Hasil mudah di akses dari my siloam apps
Siloam Hospitals Semarang,Adhy Wisaksono,5.0,(Translated by Google) One of the private hospitals in Semarang (Original) Salah satu rumah sakit swasta yg ada di Semarang
Siloam Hospitals Semarang,Desa Blockchain (SenopaTEA),5.0,"(Translated by Google) the place is clean, very well maintained and organized, the management is good (Original) tempat bersih, sangat terawat dan tertata, manajemen ya bagus"
Siloam Hospitals Semarang,wilbexer connor,1.0,"(Translated by Google) The pharmacy department was very stupid, I asked for a copy of the prescription but there was no communication that they had submitted the copy of the prescription to the cashier, so it made me wait for an hour in front of the pharmacy. Afraid that after I got a copy of my recipe, I immediately ran away?? Get used to the communication and information being clear, so that it doesn't mislead and harm other people's time. Siloam hospital management is the worst, right.. in Semarang. Not to mention that the doctor is late and doesn't respect other people. (Original) Bagian farmasi tolol sekali, saya minta copy resep tapi gak ada komunikasi bahwa copy resep sudah mereka serahkan ke kasir, jadi bikin saya nunggu lama sejam di depan farmasi. Takut setelah dapat copy resep saya langsung kaburr??Biasakan kalo komunikasi dan informasi itu yang jelas, biar gak menyesatkan dan merugikan waktu orang lain. Management rumah sakit siloam terburuk ya ..di semarang ini lah. Belum lagi dokternya doyan telat gak menghargai orang lain."
Siloam Hospitals Semarang,Tommy Andreason,1.0,"(Translated by Google) Very unprofessional service. Swab test alone have to wait a very long queue, still waiting for the officers to rest (WITHOUT INFORMATION)! Very disappointing ! (Original) Pelayanan yang sangat tidak profesional. Tes swab saja harus menunggu antrian yang sangat lama, masih menunggu petugas istirahat (TANPA INFORMASI) ! Sangat mengecewakan !"
Siloam Hospitals Semarang,Auditya Mega,5.0,"(Translated by Google) At first I underestimated this hospital because at the beginning of the time when I wanted to check for a circumcision procedure, our 2 month old child was really meant to wait even though I had an appointment, then I went to the 2nd floor already waiting for the doctor to leave, because there was a sudden need, but the rs immediately apologized to the hospital us and rescheduled on the same day and it was confirmed that the doctor had arrived after that the doctor was very friendly and kind and after the procedure was completed at 19.00, midnight at 3.00 in the morning the doctor came to the house to serve our complaints and check our child, thank you for Siloam Hospital service, Dr Gerard and also Dr Agustine's wife who cares and always responds when contacted via WA 🙏🙏🙏 (Original) awalnya sempet underestimate sama rs ini karena awal waktu mau kontrol periksa buat tindakan khitan anak kami umur 2 bulan bner2 d buat nunggu padahal udah appointment trs ke lt 2 udah nunggu jg malah dokternya pergi dong krna ada kperluan mendadak, tapi pihak rs lgsung meminta maaf kpd kami dan membuat reschedule ulang d hr yg sama dan dikonfirmasi jg kalau dokter udah datang setelah itu dokter sangat ramah dan baik dan setelah tindakan selesai pukul 19.00, tengah malam pukul 3.00 dini hari dokter datang ke rumah untuk melayani keluhan kami dan memeriksa anak kami trimakasih buat pelayanan rs siloam, dr gerard dan jg istri dr agustine yg sudah care dan selalu merespon saat dihubungi via wa 🙏🙏🙏"
Siloam Hospitals Semarang,Sikha Akhidah,5.0,"(Translated by Google) Very home service. From the start of the list to the end, it's smooth. the staff, nurses, and doctors are all friendly and helpful when something is not clear. (Original) Pelayanan ruamah sekali. Dari awal daftar sampai selesai lancarrr. staff, perawat, dan dokter semua ramah² dan dibantu ketika ada yg tidak jelas."
Siloam Hospitals Semarang,citra Rosita,4.0,"(Translated by Google) this is the first time the pcr is here, and strangely the sample using the nose was plugged in, not using throat mucus, when registration was not given, the pcr there model was immediately debited without us filling in symptoms etc., please cancel but already paid, but the results are accurate. and there is a description of the ct value, the pcr there can't be done on the same day, it's not like the brochure. plus the staff is friendly (Original) baru pertama pcr di sini,dan anehnya sample pake hidung dicoloknya gak pake lendir tenggorokan,waktu pendaftaran g dikasi tau pcr disana modelnya begitu langsung didebet tanpa kita isi gejala dll,mo batal tp udh bayar,tp hasil akurat lah. dan ada keterangan ct value nya,pcr disana g bisa langsung jadi di hari yg sama,g kaya brosurnya.plusnya petugas ramah"
Siloam Hospitals Semarang,Raffa Maulana,1.0,"(Translated by Google) VERY DISAPPOINTING!!!!!!!!!!!! I did a CT Scan on Monday, July 5th, the officer said the earliest it was in the afternoon, the MLM was ready and promised to be contacted! The fact is that HR Tuesday morning, afternoon, evening, we went back and forth to ask the hospital, it's not done yet, tonight I'll go to LG because I have a schedule for control and action with the SPOG doctor at the Kusuma Praja Hospital, and apparently it hasn't happened yet What kind of hospital is this...contacting tLP all TDK can, it looks like it's indeed TDK activated! I've paid an expensive 1.5 million CT scan!! And the new officer said that the radiology doctor was on leave! If the doctor said LG was on maternity leave from the start, you shouldn't accept CT scan patients, please!!!! I need quick results because I want to take action, I'm already in pain, even though the results are delayed, it's not clear ! I just want my money back if for example tomorrow it hasn't been done yet!! (Original) SANGAT MENGECEWAKAN!!!!!!!!!!!! Sy CT Scan hari Senin tgl 5juli, kata petugasnya paling cepet sore,MLM udah jadi dan janji akan dihubungi! Kenyataan nya HR Selasa pagi,siang,sore,kita bolak balik tanya ke RS BELUM JADI, malemnya sy samperin LG Krn sy ad jadwal kontrol dan tindakan dg dokter SPOG RSKusuma praja, dan ternyata BELUM JADI juga😠😠😠 RS macem apa ini...dihubungi tLP sll TDK bisa, seperti nya memang TDK diaktifkan! Sy sudah bayar mahal CT scan 1,5 JT!! Dan petugas baru bilang klo dokter radiologi CUTI melahirkan! Harusnya klo dari awal bilang dokternya LG cuti melahirkan g usah terima pasien CT scan dong!!!! Sy perlu hasil cepat Krn mau ada tindakan ,sy udh nahan kesakitan malah hasilnya ditunda2 g jelas😠! Sy mau uang sy kembali saja klo misal bsk Rabu blm jadi juga!!"
Siloam Hospitals Semarang,windy el,5.0,"(Translated by Google) If you have problems with acne or skin, you can try it here.. Dr. Teguh, SpKK recommended.. Explanation of details, want to ask a lot until foamy is also answered patiently.. Check already with the drug, it's around 500-600k depending on the patient's condition, it's different.. (Original) Yg bermasalah dengan jerawat atau kulit..bisa nyoba kesini ya.. Dr.Teguh,SpKK recommended.. Penjelasan details,mau nanya banyak sampai berbusa juga dijawab dengan sabar.. Periksa udah sama obat sekitar 500-600k tergantung kondisi pasien ya beda2.."
Siloam Hospitals Semarang,ricky rickomo,5.0,"(Translated by Google) Environmentally friendly hospital, good employees. Continued success Siloam. (Original) Rumah sakit ramah lingkungan, karyawannya baik. Sukses terus Siloam."
Siloam Hospitals Semarang,Set diana Stephani Br Kacaribu,5.0,"(Translated by Google) Came only for a rapid test, for service I don't know (Original) Datang hanya untuk rapid tes, untuk pelayanan saya kurang tau"
Siloam Hospitals Semarang,Rayi Anggunsari,5.0,"(Translated by Google) An extraordinary hospital that makes it easy. Quiet doctor visits, no queues. And affordable prices. Maybe because many don't know. Recommended poll already. (Original) Rumah sakit yg pelayanan luar biasa mempermudah. Kunjungandokter sepi tidak antri. Dan harga terjangkau. Mungkin krn banyak yg belum tau. Recomended poll dah."
Siloam Hospitals Semarang,Aditiar Adit,1.0,"(Translated by Google) Excuse me, Doc, I want to ask, how much do you pay for the VCR test, doc? (Original) Permisi Dok mau Nanya Kalo Tes VCR bayar nya brp ya dok"
Siloam Hospitals Semarang,Rizki Adityya,1.0,"(Translated by Google) The 2-day Citi scan test has no results even though my wife needs post-operative action from the results... Asked the officer 4x a day no answer.. The call center phone is not active...😡😡😡 I feel sorry for my wife who is hanging, it's not clear waiting for the results of the Citi scan (Original) Test Citi scan 2 hari belum ada hasil padahal istri saya butuh tindakan pasca operasi dari hasil tersebut... Di tanyakan ke petugas 4x sehari g ada jawaban.. D telp call center nya tidak aktif...😡😡😡 Kasihan istri saya yg terkatung g jelas nunggu hasil Citi scan tersebut"
Siloam Hospitals Semarang,Christina Ekaristia,5.0,"(Translated by Google) Thank you very much for your help. After a long drama because I wanted to be late for G-nose at the penthouse ... And I have to mlm too. Get info on this hospital with 24-hour rapid test service. Sdh hopeless will not be rushed because the estimated result is 1 hour. Indeed, I had to beg for 1 hour not to arrive. But the officers can't promise. Still on the real estimate. I think the answer is very reasonable and professional. Because that's the procedure. And I became a risk for being late from the start when I wanted to G-nose. Even though in the end the results came out cm 10 minutes ... even the officer was halfway running and approached me to make the results. Thank you for giving me a sense of ""calm"" in my panic🙏😁 (Original) Terima kasih banyak atas bantuannya. Setelah drama panjang krn telat mau G-nose di stasiun tawang.. Dan hrs plng mlm itu jg. Dpt info RS ini dgn pelayanan rapid test 24jam. Sdh hopeless bakal g keburu krn estimasi hasilnya 1jam. Memang saya sempet mohon2 agar jgn smp 1jam. Tapi petugasnya tdk bs menjanjikan. Tetap pd estimasi yg sbnrnya. Menurut saya jawaban yg sangat wajar dan profesional. Krn memang spt itu protap nya. Dan sdh menjadi resiko atas keterlambatan saya dr awal mau G-nose. Skalipun pd akhirnya hasil keluar cm 10mntan..bahkan petugas nya smp stengah berlari nyamperin saya buat ksh hasilnya. Terima kasih sdh memberikan rasa ""tenang"" dalam kepanikan saya🙏😁"
Siloam Hospitals Semarang,Cadett Officer,3.0,(Translated by Google) Not bad as a reference choice for treatment in Semarang. (Original) Lumayan sebagai referensi pilihan tempat berobat di semarang.
Siloam Hospitals Semarang,E L,3.0,"(Translated by Google) Just for input. December 2020 swab test. Register at 13.30, wait until 19.30 to get your turn. It's not too crowded though. One of the three front clerks was unfriendly, and uninformative. I just asked what time it would be my turn so I could go eat first, but I was told to stand by constantly. Just a waste of time. Tired of coming here. Now I've had several swab tests in other places, much faster even though the queue is two/three times as crowded. And only one front officer is enough. NB: but the health workers are very friendly. The response team in reply here is also very fast. Hopefully now or in the future can be resolved. I saw that the complaints about this were not only from me. Hopefully in the future it can be improved. (Original) Sekedar utk masukan. Desember 2020 swab test. Daftar jam 13.30 nunggu sampai 19.30 baru dapat giliran. Padahal ngga rame banget juga. Satu dari tiga petugas depan tidak ramah, dan tidak informatif. Saya cuma tanya kira2 jam berapa giliran saya supaya saya bisa pergi makan dulu, tapi dgn ketus disuruh stand by terus. Buang2 waktu saja. Kapok sekali ke sini. Skrg sy sudah beberapa kali swab test di tempat lain, jauh lebih cepat padahal antrian dua/tiga kali lebih ramai. Dan petugas depannya cuma satu saja cukup. NB: tapi tenaga kesehatannya ramah2 sekali. Tim respons di reply sini juga sigap sekali. Mudah2an saat ini atau ke depannya bisa terselesaikan. Saya melihat komplain utk hal ini ternyata bukan dari saya saja. Semoga kedepannya bisa diperbaiki."
Siloam Hospitals Semarang,Ana,1.0,"(Translated by Google) The method of taking nasopharyngeal swab samples by each nurse is different. After we are told to position our heads slightly backwards, with our eyes looking at the ceiling, the swab applicator is inserted into the nose. Even until 3/4 of the swab applicator was inserted, after that the nurse even removed the handle of the swab applicator, she said to let it sink in. We are worried if the swab applicator goes too deep because it took a long time for the swab applicator to be removed by the nurse. After that, swab and rotated it for too long and even put it deeper. It's more uncomfortable, it hurts. Closed eyes asked to open eyes. Until I say stop. too long. (Original) Cara pengambilan sampel swab nasofaring oleh setiap perawat berbeda beda. Setelah kepala kita disuruh posisi agak kebelakang sedikit, dengan mata melihat langit langit, swab applicator dimasukkan ke dalam hidung. Bahkan sampai 3/4 swab applicator dimasukkan, setelah itu perawat bahkan melepas pegangan swab applicator , katanya biar meresap. Kita jadi khawatir kalo swab applicator masuk terlalu dalam karena lumayan lama dilepas swab applicatornya oleh perawat. Setelah itu di swab dan diputar putar juga terlalu lama bahkan masih dimasukkan lebih dalam lagi. Tambah tidak nyaman, ngilua rasa nya. Mata terpejam diminta buka mata. Sampai saya bilang stop . terlalu lama."
Siloam Hospitals Semarang,margareta ayu,1.0,"(Translated by Google) I want rapid antigen. Waiting from 16.00 to 18.35, still not being called, also the reason for waiting for the nurse. Those who want to be fast here, just a little info if the service is really bad, it's taking too long. Very sorry to test here (Original) Mau rapid antigen.Nunggu dari jam 16.00 smpe jam 18.35 masih belum dipanggil juga alasan nunggu perawat. Yang mau rapid disini sedikit info aja kalau pelayanannya payah sekali bin lama. Sangat menyesal tes disini"
